{'timestamp': '2021-11-29 22:44:46.146822', 'Physical Cell ID': 498, 'msg_type': 'c1: rrcConnectionSetupComplete (4)', 'index': 6141}
{'timestamp': '2021-11-29 22:44:50.853943', 'Physical Cell ID': 498, 'msg_type': 'c1: rrcConnectionRelease (5)', 'index': 6299}
{'timestamp': '2021-11-29 22:45:39.445003', 'Physical Cell ID': 498, 'msg_type': 'c1: rrcConnectionSetupComplete (4)', 'index': 6369}
{'timestamp': '2021-11-29 22:45:44.091838', 'Physical Cell ID': 498, 'msg_type': 'c1: rrcConnectionRelease (5)', 'index': 6523}
{'timestamp': '2021-11-29 22:45:54.215003', 'Physical Cell ID': 498, 'msg_type': 'c1: rrcConnectionSetupComplete (4)', 'index': 6554}
{'timestamp': '2021-11-29 22:45:58.885781', 'Physical Cell ID': 498, 'msg_type': 'c1: rrcConnectionRelease (5)', 'index': 6705}
{'timestamp': '2021-11-29 22:46:23.405005', 'Physical Cell ID': 498, 'msg_type': 'c1: rrcConnectionSetupComplete (4)', 'index': 6754}
{'timestamp': '2021-11-29 22:46:28.022879', 'Physical Cell ID': 498, 'msg_type': 'c1: rrcConnectionRelease (5)', 'index': 6904}
{'timestamp': '2021-11-29 22:46:52.995001', 'Physical Cell ID': 498, 'msg_type': 'c1: rrcConnectionSetupComplete (4)', 'index': 6949}
{'timestamp': '2021-11-29 22:46:57.752883', 'Physical Cell ID': 498, 'msg_type': 'c1: rrcConnectionRelease (5)', 'index': 7102}
{'timestamp': '2021-11-29 22:47:06.655002', 'Physical Cell ID': 498, 'msg_type': 'c1: rrcConnectionSetupComplete (4)', 'index': 7135}
{'timestamp': '2021-11-29 22:47:11.355765', 'Physical Cell ID': 498, 'msg_type': 'c1: rrcConnectionRelease (5)', 'index': 7284}
{'timestamp': '2021-11-29 22:47:29.605004', 'Physical Cell ID': 498, 'msg_type': 'c1: rrcConnectionSetupComplete (4)', 'index': 7321}
{'timestamp': '2021-11-29 22:47:34.488941', 'Physical Cell ID': 498, 'msg_type': 'c1: rrcConnectionRelease (5)', 'index': 7478}
{'timestamp': '2021-11-29 22:48:04.593941', 'Physical Cell ID': 498, 'msg_type': 'c1: rrcConnectionSetupComplete (4)', 'index': 7532}
{'timestamp': '2021-11-29 22:48:09.225022', 'Physical Cell ID': 498, 'msg_type': 'c1: rrcConnectionRelease (5)', 'index': 7679}
{'timestamp': '2021-11-29 22:48:19.965004', 'Physical Cell ID': 498, 'msg_type': 'c1: rrcConnectionSetupComplete (4)', 'index': 7711}
{'timestamp': '2021-11-29 22:48:24.825018', 'Physical Cell ID': 498, 'msg_type': 'c1: rrcConnectionRelease (5)', 'index': 7858}
{'timestamp': '2021-11-29 22:48:41.055003', 'Physical Cell ID': 498, 'msg_type': 'c1: rrcConnectionSetupComplete (4)', 'index': 7898}
{'timestamp': '2021-11-29 22:48:45.943943', 'Physical Cell ID': 498, 'msg_type': 'c1: rrcConnectionRelease (5)', 'index': 8059}
{'timestamp': '2021-11-29 22:49:08.605004', 'Physical Cell ID': 498, 'msg_type': 'c1: rrcConnectionSetupComplete (4)', 'index': 8104}
{'timestamp': '2021-11-29 22:49:13.945004', 'Physical Cell ID': 498, 'msg_type': 'c1: rrcConnectionRelease (5)', 'index': 8298}
